Rank 1: 	['Water', 'Ground', 'Flying', 'Steel']        75.69%	Highest for 4 types.
Rank 2: 	['Electric', 'Flying', 'Steel', 'Fairy']      75.0%	
Rank 3: 	['Normal', 'Ghost', 'Steel', 'Fairy']         74.31%	
Rank 4: 	['Fire', 'Ground', 'Flying', 'Steel']         73.61%	
Rank 5: 	['Water', 'Electric', 'Flying', 'Steel']      73.61%	
Rank 6: 	['Water', 'Flying', 'Steel', 'Fairy']         73.61%	
Rank 7: 	['Water', 'Dragon', 'Steel', 'Fairy']         73.61%	
Rank 8: 	['Electric', 'Poison', 'Flying', 'Steel']     73.61%	
Rank 9: 	['Flying', 'Ghost', 'Dark', 'Steel']          73.61%	
Rank 10: 	['Ghost', 'Dark', 'Steel', 'Fairy']           73.61%	
Rank 11: 	['Flying', 'Dragon', 'Steel', 'Fairy']        73.61%	
Rank 12: 	['Normal', 'Ghost', 'Dragon', 'Steel']        73.61%	
Rank 13: 	['Normal', 'Ghost', 'Dark', 'Steel']          73.61%	
Rank 14: 	['Electric', 'Flying', 'Steel']               72.92%	Highest for 3 types.
Rank 15: 	['Water', 'Electric', 'Steel', 'Fairy']       72.92%	
Rank 16: 	['Flying', 'Dark', 'Steel', 'Fairy']          72.92%	
Rank 17: 	['Water', 'Flying', 'Dragon', 'Steel']        72.92%	
Rank 18: 	['Electric', 'Flying', 'Dragon', 'Steel']     72.92%	
Rank 19: 	['Normal', 'Electric', 'Flying', 'Steel']     72.92%	
Rank 20: 	['Normal', 'Flying', 'Ghost', 'Steel']        72.92%	
Rank 21: 	['Fire', 'Ghost', 'Dark', 'Steel']            72.92%	
Rank 22: 	['Water', 'Poison', 'Flying', 'Steel']        72.92%	
Rank 23: 	['Electric', 'Dragon', 'Steel', 'Fairy']      72.92%	
Rank 24: 	['Ghost', 'Dragon', 'Steel', 'Fairy']         72.92%	
Rank 25: 	['Normal', 'Flying', 'Steel', 'Fairy']        72.92%	
Rank 26: 	['Normal', 'Water', 'Ghost', 'Steel']         72.92%	
Rank 27: 	['Water', 'Ghost', 'Dark', 'Steel']           72.92%	
Rank 28: 	['Dragon', 'Steel', 'Fairy']                  72.22%	
Rank 29: 	['Fire', 'Electric', 'Steel', 'Fairy']        72.22%	
Rank 30: 	['Water', 'Ground', 'Steel', 'Fairy']         72.22%	
Rank 31: 	['Electric', 'Fighting', 'Flying', 'Steel']   72.22%	
Rank 32: 	['Electric', 'Flying', 'Ghost', 'Steel']      72.22%	
Rank 33: 	['Electric', 'Flying', 'Dark', 'Steel']       72.22%	
Rank 34: 	['Fire', 'Electric', 'Flying', 'Steel']       72.22%	
Rank 35: 	['Fire', 'Dragon', 'Steel', 'Fairy']          72.22%	
Rank 36: 	['Water', 'Grass', 'Steel', 'Fairy']          72.22%	
Rank 37: 	['Normal', 'Fire', 'Ghost', 'Steel']          72.22%	
Rank 38: 	['Normal', 'Fighting', 'Ghost', 'Steel']      72.22%	
Rank 39: 	['Fire', 'Flying', 'Dragon', 'Steel']         72.22%	
Rank 40: 	['Poison', 'Flying', 'Dark', 'Steel']         72.22%	
Rank 41: 	['Poison', 'Flying', 'Steel', 'Fairy']        72.22%	
Rank 42: 	['Normal', 'Electric', 'Ghost', 'Steel']      72.22%	
Rank 43: 	['Normal', 'Grass', 'Ghost', 'Steel']         72.22%	
Rank 44: 	['Electric', 'Ghost', 'Dark', 'Steel']        72.22%	
